pair_id,prompt_id,lambda_cka,effective_lambda_cka,rho,objective,source_weight,alpha,beta,target_cka_mode,target_alignment_temperature,reference_count,status,proxy_hits,proxy_denominator,proxy_hit_mask,proxy_gate_type,proxy_free_check_applicable,free_generation_hits,target_hits,target_denominator,target_hit_mask,target_hits_among_proxy_hits,proxy_hit_target_denominator,tasr_percent,untargeted_hits,asr_percent,proxy_min_margin,proxy_min_probability,cka_adv_source,cka_adv_reference,reference_cka_gain,source_cka_drop,source_repulsion_achieved,target_attraction_achieved,grad_ml_l1,grad_cka_weighted_l1,grad_component_cosine,elapsed_seconds,error
P22,original,1.0,501.1791687011719,1.0,original_cka_a1,1.0,1.0,0.0,spatial_index_legacy,0.07,8,complete,4,8,"[False, False, True, True, True, True, False, False]",generative_strict,True,6,,,,,,,,,-4.625,0.004435185808688402,0.3486945629119873,0.31539100408554077,-0.0815005898475647,0.6513054370880127,True,False,0.038021378219127655,0.038021378219127655,0.042553093284368515,235.53226963698398,
P22,original,1.0,12.888118743896484,0.03,original_cka_a2,1.0,2.0,0.0,spatial_index_legacy,0.07,8,complete,6,8,"[False, True, True, True, True, True, False, True]",generative_strict,True,6,,,,,,,,,-4.375,0.008493549190461636,0.6123349666595459,0.4059603810310364,0.009068787097930908,0.3876650333404541,True,True,0.038122810423374176,0.0011436842614784837,0.05691337585449219,233.93657635001,
P22,original,1.0,42.77193832397461,0.1,original_cka_a2,1.0,2.0,0.0,spatial_index_legacy,0.07,8,complete,5,8,"[False, True, True, True, True, True, False, False]",generative_strict,True,5,,,,,,,,,-5.176462173461914,0.002147973980754614,0.5886714458465576,0.4374327063560486,0.040541112422943115,0.4113285541534424,True,True,0.03796239197254181,0.0037962389178574085,0.0556989461183548,235.28200149803888,
P22,original,1.0,128.49037170410156,0.3,original_cka_a2,1.0,2.0,0.0,spatial_index_legacy,0.07,8,complete,5,8,"[False, True, True, True, True, True, False, False]",generative_strict,True,5,,,,,,,,,-6.75,0.001097395783290267,0.5688707828521729,0.4635855257511139,0.06669393181800842,0.43112921714782715,True,True,0.03801295906305313,0.011403888463973999,0.057617317885160446,235.39338874805253,
P22,original,1.0,428.18408203125,1.0,original_cka_a2,1.0,2.0,0.0,spatial_index_legacy,0.07,8,complete,3,8,"[False, False, True, True, False, True, False, False]",generative_strict,True,4,,,,,,,,,-10.375,3.1064864742802456e-05,0.5417368412017822,0.49712949991226196,0.1002379059791565,0.4582631587982178,True,True,0.03800254687666893,0.03800254687666893,0.05650840327143669,235.44332153903088,
P22,original,1.0,7.305025100708008,0.03,original_cka_a4,1.0,4.0,0.0,spatial_index_legacy,0.07,8,complete,6,8,"[False, True, True, True, True, True, True, False]",generative_strict,True,6,,,,,,,,,-8.5,0.00019549687567632645,0.6804038286209106,0.44326460361480713,0.04637300968170166,0.31959617137908936,True,True,0.038029931485652924,0.0011408979771658778,0.05193120986223221,233.53072184702614,
P22,original,1.0,24.41960334777832,0.1,original_cka_a4,1.0,4.0,0.0,spatial_index_legacy,0.07,8,complete,6,8,"[False, True, True, True, True, True, False, True]",generative_strict,True,6,,,,,,,,,-5.375,0.0015152564737945795,0.6495833396911621,0.46021467447280884,0.06332308053970337,0.3504166603088379,True,True,0.038134682923555374,0.0038134686183184385,0.050923049449920654,237.7413482510019,
P22,original,1.0,72.93619537353516,0.3,original_cka_a4,1.0,4.0,0.0,spatial_index_legacy,0.07,8,complete,4,8,"[False, False, True, False, True, True, False, True]",generative_strict,True,5,,,,,,,,,-3.75,0.0069124517031013966,0.64564448595047,0.5004368424415588,0.10354524850845337,0.35435551404953003,True,True,0.03796795383095741,0.011390386149287224,0.05144188925623894,235.85782513098093,
P22,original,1.0,244.05319213867188,1.0,original_cka_a4,1.0,4.0,0.0,spatial_index_legacy,0.07,8,complete,2,8,"[False, False, True, False, True, False, False, False]",generative_strict,True,4,,,,,,,,,-8.625,0.00017846909759100527,0.6207183599472046,0.5329387187957764,0.1360471248626709,0.3792816400527954,True,True,0.03811188042163849,0.03811188042163849,0.051122598350048065,236.85543719300767,
P22,original,1.0,3.478717803955078,0.03,original_cka_a8,1.0,8.0,0.0,spatial_index_legacy,0.07,8,complete,4,8,"[False, True, True, False, True, True, False, False]",generative_strict,True,4,,,,,,,,,-5.75,0.002924058586359024,0.6956167817115784,0.4531658887863159,0.05627429485321045,0.30438321828842163,True,True,0.038046348839998245,0.0011413904139772058,0.04147164151072502,233.58460644900333,
