pair_id,prompt_id,objective,lambda_cka,source_cka_weight,target_cka_weight_alpha,semantic_target_weight,seed,steps,batch_size,reference_bank_size,epsilon_linf,step_size,momentum,proxy_hits,proxy_denominator,free_generation_hits,target_hits,target_denominator,tasr_percent,untargeted_hits,asr_percent,proxy_min_margin,proxy_min_probability,cka_adv_source,cka_adv_reference,reference_cka_gain,source_cka_drop,grad_ml_l1,grad_cka_weighted_l1,grad_component_cosine,elapsed_seconds,status
P14,original,token_contrastive_cka,6.0,1.0,4.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,6,75.0,4.05190896987915,0.9378369450569153,0.3129909932613373,0.3105212450027466,0.13323399424552917,0.6870089769363403,0.0368158183991909,0.004406088963150978,0.06201618164777756,659.5325845999905,complete
P16,original,token_contrastive_cka,0.5,1.0,4.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,4,50.0,3.5876638889312744,0.9670230746269226,0.10419071465730667,0.137207493185997,0.08129935711622238,0.8958092927932739,0.026435038074851036,9.952790423994884e-05,0.027602743357419968,116.53253773599863,complete
P16,original,token_contrastive_cka,3.0,1.0,1.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,3,37.5,3.942526340484619,0.975616455078125,0.04880740866065025,0.06367111206054688,0.007762975990772247,0.9511926174163818,0.02650202438235283,0.0006063288892619312,0.017624203115701675,84.4761991790001,complete
P16,original,token_contrastive_cka,3.0,1.0,4.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,2,25.0,4.268113613128662,0.9841394424438477,0.10062843561172485,0.12122093141078949,0.06531279534101486,0.8993715643882751,0.026437409222126007,0.0005973936058580875,0.028437059372663498,88.70659256099316,complete
P19,original,token_contrastive_cka,0.5,1.0,1.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,1,8,12.5,4,50.0,3.5741631984710693,0.9684503078460693,0.37234628200531006,0.33425968885421753,-0.047539591789245605,0.6276537179946899,0.04245580732822418,4.300336877349764e-05,0.013921080157160759,550.1049913699972,complete
P19,original,token_contrastive_cka,0.5,1.0,4.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,1,8,12.5,4,50.0,3.28733229637146,0.9523174166679382,0.6303116083145142,0.4507297873497009,0.06893050670623779,0.36968839168548584,0.042485542595386505,8.137147960951552e-05,-0.004735560156404972,367.7258870299993,complete
P19,original,token_contrastive_cka,3.0,1.0,1.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,3,37.5,3.5569238662719727,0.9651341438293457,0.3702920973300934,0.31746381521224976,-0.06433546543121338,0.629707932472229,0.04260025918483734,0.00025799221475608647,0.01536913774907589,486.911132017005,complete
P19,original,token_contrastive_cka,3.0,1.0,4.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,2,25.0,3.3446907997131348,0.9620321989059448,0.5942106246948242,0.48870301246643066,0.10690373182296753,0.4057893753051758,0.04239130765199661,0.0004882420471403748,-0.0027054883539676666,449.26529039301386,complete
P20,original,token_contrastive_cka,0.5,1.0,1.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,4,8,50.0,6,75.0,3.4908478260040283,0.9612593054771423,0.12181630730628967,0.12439676374197006,-0.012805752456188202,0.8781837224960327,0.006792583502829075,0.00037161834188736975,0.1063065379858017,403.8388457789988,complete
P20,original,token_contrastive_cka,0.5,1.0,2.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,2,8,25.0,6,75.0,3.5572659969329834,0.9518149495124817,0.18185743689537048,0.18161678314208984,0.04441426694393158,0.8181425333023071,0.006675684358924627,0.0003772051422856748,0.08112183213233948,502.13766770599614,complete
