pair_id,transition_id,batch_index,image_index,generation_target_hit,clean_source_target_margin,adversarial_source_target_margin,clean_robust_margin,adversarial_robust_margin,clean_target_probability,adversarial_target_probability,clean_target_rank,adversarial_target_rank,clean_closedset_entropy,adversarial_closedset_entropy,source_target_gap_closure,robust_gap_closure
P16,T05,1,4,1,-16.25,5.5,-16.25,5.5,8.764243375480874e-08,0.9919622540473938,3.0,1.0,9.451045116293244e-06,0.05914819985628128,1.3384615384615384,1.3384615384615384
P16,T05,1,5,0,-22.875,-10.5,-22.875,-10.5,1.1628233098637253e-10,2.7535641493159346e-05,5.0,2.0,3.928913727690997e-08,0.00034730907646007836,0.5409836065573771,0.5409836065573771
P16,T05,1,6,1,-14.25,14.0,-14.25,12.625,6.475941063399659e-07,0.9999833106994629,2.0,1.0,2.869216950784903e-05,0.00023521852563135326,1.9824561403508771,1.8859649122807018
P16,T05,1,7,0,-23.125,-22.0,-23.125,-22.0,9.056076721858375e-11,2.789468100949932e-10,4.0,2.0,1.3169474399887804e-08,2.5064162301191573e-08,0.04864864864864865,0.04864864864864865
P16,T05,2,0,0,-12.5,-9.375,-12.5,-9.375,3.7265288028720533e-06,8.471833280054852e-05,5.0,4.0,0.00044173761853016913,0.011074422858655453,0.25,0.25
P16,T05,2,1,0,-19.875,-5.625,-19.875,-5.625,2.335593052293916e-09,0.0024556030984967947,4.0,9.0,4.99597490488668e-07,1.0859578847885132,0.7169811320754716,0.7169811320754716
P16,T05,2,2,1,-22.0,5.375,-22.0,5.375,2.789468100949932e-10,0.9948455095291138,3.0,1.0,3.478463028727674e-08,0.03501630574464798,1.2443181818181819,1.2443181818181819
P16,T05,2,3,0,-17.375,-0.75,-17.375,-0.75,2.8453348122070565e-08,0.32078981399536133,2.0,2.0,1.6554874946450582e-06,0.6286092400550842,0.9568345323741008,0.9568345323741008
P16,T05,2,4,0,-21.25,-12.375,-21.25,-12.375,5.905304023556823e-10,4.222824372845935e-06,4.0,2.0,1.371824822626877e-07,8.89311995706521e-05,0.4176470588235294,0.4176470588235294
P16,T05,2,5,0,-22.0,-18.625,-22.0,-18.625,2.789468100949932e-10,8.152020392060422e-09,2.0,2.0,3.171349050035133e-08,4.879362904830487e-07,0.1534090909090909,0.1534090909090909
P16,T05,2,6,0,-20.625,-18.875,-20.625,-18.875,1.1032560420787263e-09,6.348800152267131e-09,2.0,3.0,1.2626748002730892e-07,6.371308245434193e-07,0.08484848484848485,0.08484848484848485
P16,T05,2,7,1,-12.25,1.75,-12.25,1.75,4.784898919751868e-06,0.8374913930892944,6.0,1.0,0.0005866051651537418,0.5189850926399231,1.1428571428571428,1.1428571428571428
P16,T05,3,0,0,-20.75,0.0,-20.75,0.0,9.736200734522527e-10,0.4999579191207886,2.0,1.0,8.253449834683124e-08,0.6941231489181519,1.0,1.0
P16,T05,3,1,1,-19.5,3.25,-19.5,0.125,3.3982678893096363e-09,0.5111130475997925,3.0,1.0,3.9139439422797295e-07,0.8827025890350342,1.1666666666666667,1.0064102564102564
P16,T05,3,2,1,-21.375,19.5,-21.375,19.125,5.211412412720051e-10,1.0,2.0,1.0,4.364578742865888e-08,3.9133726659201784e-07,1.912280701754386,1.894736842105263
