scope,metric,outcome,cell_count,spearman,permutation_p
within_pair_stratified,target_source_effective_rank,semantic_gap_gain,30,-0.3616161616161616,0.05992940070599294
P16,target_target_effective_rank,tasr_percent,10,-0.03048837166595521,0.9380306196938031
P19,target_target_effective_rank,tasr_percent,10,-0.024316221747202584,0.9528804711952881
P14,target_target_effective_rank,tasr_percent,10,-0.24848484848484848,0.4909050909490905
within_pair_stratified,target_target_effective_rank,tasr_percent,30,-0.1013175906133441,0.6085539144608554
P16,target_target_effective_rank,asr_percent,10,0.27609440361293197,0.44343556564434355
P19,target_target_effective_rank,asr_percent,10,-0.10334394242561097,0.7778522214777852
P14,target_target_effective_rank,asr_percent,10,0.042553388057604516,0.910070899291007
within_pair_stratified,target_target_effective_rank,asr_percent,30,0.07113953388722882,0.7217127828721713
P16,target_target_effective_rank,conditional_tasr_percent,10,-0.03048837166595521,0.9380306196938031
P19,target_target_effective_rank,conditional_tasr_percent,10,-0.024316221747202584,0.9528804711952881
P14,target_target_effective_rank,conditional_tasr_percent,10,-0.22424242424242424,0.5352046479535205
within_pair_stratified,target_target_effective_rank,conditional_tasr_percent,30,-0.09321218336427657,0.6370036299637004
P16,target_target_effective_rank,semantic_gap_gain,10,0.16363636363636364,0.6569034309656904
P19,target_target_effective_rank,semantic_gap_gain,10,-0.2606060606060606,0.46889531104688953
P14,target_target_effective_rank,semantic_gap_gain,10,-0.40606060606060607,0.24978750212497874
within_pair_stratified,target_target_effective_rank,semantic_gap_gain,30,-0.16767676767676767,0.3984160158398416
P16,proxy_normalized_separation,tasr_percent,10,-0.26829767066040583,0.45334546654533453
P19,proxy_normalized_separation,tasr_percent,10,-0.8389096502784891,0.004069959300406996
P14,proxy_normalized_separation,tasr_percent,10,-0.6363636363636364,0.05487945120548794
within_pair_stratified,proxy_normalized_separation,tasr_percent,30,-0.5815629701205951,0.0015099849001509985
P16,proxy_normalized_separation,asr_percent,10,-0.2147400916989471,0.5564044359556405
P19,proxy_normalized_separation,asr_percent,10,-0.7355657078528781,0.01965980340196598
P14,proxy_normalized_separation,asr_percent,10,-0.4255338805760452,0.2192078079219208
within_pair_stratified,proxy_normalized_separation,asr_percent,30,-0.4593581331003918,0.014299857001429985
P16,proxy_normalized_separation,conditional_tasr_percent,10,-0.26829767066040583,0.45334546654533453
P19,proxy_normalized_separation,conditional_tasr_percent,10,-0.8389096502784891,0.004069959300406996
P14,proxy_normalized_separation,conditional_tasr_percent,10,-0.5636363636363636,0.0972090279097209
within_pair_stratified,proxy_normalized_separation,conditional_tasr_percent,30,-0.5572467483733925,0.0025999740002599974
P16,proxy_normalized_separation,semantic_gap_gain,10,0.793939393939394,0.008679913200867992
P19,proxy_normalized_separation,semantic_gap_gain,10,0.8424242424242424,0.0036399636003639963
P14,proxy_normalized_separation,semantic_gap_gain,10,0.5393939393939394,0.11265887341126589
within_pair_stratified,proxy_normalized_separation,semantic_gap_gain,30,0.7252525252525253,3.999960000399996e-05
P16,target_normalized_separation,tasr_percent,10,-0.23780929899445064,0.5072449275507245
P19,target_normalized_separation,tasr_percent,10,-0.8389096502784891,0.0041599584004159956
P14,target_normalized_separation,tasr_percent,10,-0.6606060606060606,0.04262957370426296
within_pair_stratified,target_normalized_separation,tasr_percent,30,-0.5795366183083283,0.0015699843001569984
P16,target_normalized_separation,asr_percent,10,-0.1533857797849622,0.6787732122678773
P19,target_normalized_separation,asr_percent,10,-0.7538028741632801,0.015809841901580985
P14,target_normalized_separation,asr_percent,10,-0.6686960980480711,0.03942960570394296
within_pair_stratified,target_normalized_separation,asr_percent,30,-0.5264325507654932,0.004489955100448996
P16,target_normalized_separation,conditional_tasr_percent,10,-0.23780929899445064,0.5072449275507245
P19,target_normalized_separation,conditional_tasr_percent,10,-0.8389096502784891,0.0041599584004159956
P14,target_normalized_separation,conditional_tasr_percent,10,-0.6242424242424243,0.05855941440585594
within_pair_stratified,target_normalized_separation,conditional_tasr_percent,30,-0.567378507434727,0.001909980900190998
P16,target_normalized_separation,semantic_gap_gain,10,0.7818181818181819,0.01037989620103799
P19,target_normalized_separation,semantic_gap_gain,10,0.8303030303030303,0.004899951000489995
P14,target_normalized_separation,semantic_gap_gain,10,0.503030303030303,0.14370856291437087
within_pair_stratified,target_normalized_separation,semantic_gap_gain,30,0.705050505050505,9.99990000099999e-06
P16,source_class_cka,tasr_percent,10,0.21341860166168647,0.5526144738552614
